structure,operation,size,series,seed,copies,total_time_ns,avg_time_ns
MaxHeap,insert,5000,0,12345,10,667,66.7
MaxHeap,peek,5000,0,12345,10,666,66.6
MaxHeap,extractMax,5000,0,12345,10,9416,941.6
MaxHeap,insert,5000,1,12346,10,1417,141.7
MaxHeap,peek,5000,1,12346,10,84,8.4
MaxHeap,extractMax,5000,1,12346,10,3541,354.1
MaxHeap,insert,5000,2,12347,10,500,50
MaxHeap,peek,5000,2,12347,10,1000,100
MaxHeap,extractMax,5000,2,12347,10,2917,291.7
MaxHeap,insert,5000,3,12348,10,375,37.5
MaxHeap,peek,5000,3,12348,10,333,33.3
MaxHeap,extractMax,5000,3,12348,10,1458,145.8
MaxHeap,insert,5000,4,12349,10,959,95.9
MaxHeap,peek,5000,4,12349,10,125,12.5
MaxHeap,extractMax,5000,4,12349,10,1125,112.5
MaxHeap,insert,5000,5,12350,10,834,83.4
MaxHeap,peek,5000,5,12350,10,167,16.7
MaxHeap,extractMax,5000,5,12350,10,958,95.8
MaxHeap,insert,5000,6,12351,10,417,41.7
MaxHeap,peek,5000,6,12351,10,83,8.3
MaxHeap,extractMax,5000,6,12351,10,1334,133.4
MaxHeap,insert,5000,7,12352,10,292,29.2
MaxHeap,peek,5000,7,12352,10,125,12.5
MaxHeap,extractMax,5000,7,12352,10,1500,150
MaxHeap,insert,5000,8,12353,10,209,20.9
MaxHeap,peek,5000,8,12353,10,42,4.2
MaxHeap,extractMax,5000,8,12353,10,1417,141.7
MaxHeap,insert,5000,9,12354,10,250,25
MaxHeap,peek,5000,9,12354,10,125,12.5
MaxHeap,extractMax,5000,9,12354,10,1208,120.8
MaxHeap,insert,10000,0,12345,10,208,20.8
MaxHeap,peek,10000,0,12345,10,84,8.4
MaxHeap,extractMax,10000,0,12345,10,1167,116.7
MaxHeap,insert,10000,1,12346,10,416,41.6
MaxHeap,peek,10000,1,12346,10,42,4.2
MaxHeap,extractMax,10000,1,12346,10,1250,125
MaxHeap,insert,10000,2,12347,10,209,20.9
MaxHeap,peek,10000,2,12347,10,41,4.1
MaxHeap,extractMax,10000,2,12347,10,1000,100
MaxHeap,insert,10000,3,12348,10,375,37.5
MaxHeap,peek,10000,3,12348,10,83,8.3
MaxHeap,extractMax,10000,3,12348,10,917,91.7
MaxHeap,insert,10000,4,12349,10,125,12.5
MaxHeap,peek,10000,4,12349,10,42,4.2
MaxHeap,extractMax,10000,4,12349,10,1000,100
MaxHeap,insert,10000,5,12350,10,125,12.5
MaxHeap,peek,10000,5,12350,10,125,12.5
MaxHeap,extractMax,10000,5,12350,10,875,87.5
MaxHeap,insert,10000,6,12351,10,125,12.5
MaxHeap,peek,10000,6,12351,10,42,4.2
MaxHeap,extractMax,10000,6,12351,10,834,83.4
MaxHeap,insert,10000,7,12352,10,125,12.5
MaxHeap,peek,10000,7,12352,10,42,4.2
MaxHeap,extractMax,10000,7,12352,10,750,75
MaxHeap,insert,10000,8,12353,10,292,29.2
MaxHeap,peek,10000,8,12353,10,0,0
MaxHeap,extractMax,10000,8,12353,10,959,95.9
MaxHeap,insert,10000,9,12354,10,375,37.5
MaxHeap,peek,10000,9,12354,10,84,8.4
MaxHeap,extractMax,10000,9,12354,10,833,83.3
MaxHeap,insert,25000,0,12345,10,167,16.7
MaxHeap,peek,25000,0,12345,10,42,4.2
MaxHeap,extractMax,25000,0,12345,10,791,79.1
MaxHeap,insert,25000,1,12346,10,208,20.8
MaxHeap,peek,25000,1,12346,10,0,0
MaxHeap,extractMax,25000,1,12346,10,875,87.5
MaxHeap,insert,25000,2,12347,10,250,25
MaxHeap,peek,25000,2,12347,10,41,4.1
MaxHeap,extractMax,25000,2,12347,10,917,91.7
MaxHeap,insert,25000,3,12348,10,167,16.7
MaxHeap,peek,25000,3,12348,10,42,4.2
MaxHeap,extractMax,25000,3,12348,10,1167,116.7
MaxHeap,insert,25000,4,12349,10,250,25
MaxHeap,peek,25000,4,12349,10,125,12.5
MaxHeap,extractMax,25000,4,12349,10,917,91.7
MaxHeap,insert,25000,5,12350,10,208,20.8
MaxHeap,peek,25000,5,12350,10,41,4.1
MaxHeap,extractMax,25000,5,12350,10,958,95.8
MaxHeap,insert,25000,6,12351,10,83,8.3
MaxHeap,peek,25000,6,12351,10,42,4.2
MaxHeap,extractMax,25000,6,12351,10,792,79.2
MaxHeap,insert,25000,7,12352,10,125,12.5
MaxHeap,peek,25000,7,12352,10,0,0
MaxHeap,extractMax,25000,7,12352,10,791,79.1
MaxHeap,insert,25000,8,12353,10,334,33.4
MaxHeap,peek,25000,8,12353,10,83,8.3
MaxHeap,extractMax,25000,8,12353,10,791,79.1
MaxHeap,insert,25000,9,12354,10,250,25
MaxHeap,peek,25000,9,12354,10,41,4.1
MaxHeap,extractMax,25000,9,12354,10,666,66.6
MaxHeap,insert,50000,0,12345,10,167,16.7
MaxHeap,peek,50000,0,12345,10,42,4.2
MaxHeap,extractMax,50000,0,12345,10,1000,100
MaxHeap,insert,50000,1,12346,10,417,41.7
MaxHeap,peek,50000,1,12346,10,125,12.5
MaxHeap,extractMax,50000,1,12346,10,833,83.3
MaxHeap,insert,50000,2,12347,10,9208,920.8
MaxHeap,peek,50000,2,12347,10,42,4.2
MaxHeap,extractMax,50000,2,12347,10,1125,112.5
MaxHeap,insert,50000,3,12348,10,292,29.2
MaxHeap,peek,50000,3,12348,10,83,8.3
MaxHeap,extractMax,50000,3,12348,10,875,87.5
MaxHeap,insert,50000,4,12349,10,250,25
MaxHeap,peek,50000,4,12349,10,83,8.3
MaxHeap,extractMax,50000,4,12349,10,917,91.7
MaxHeap,insert,50000,5,12350,10,167,16.7
MaxHeap,peek,50000,5,12350,10,42,4.2
MaxHeap,extractMax,50000,5,12350,10,1167,116.7
MaxHeap,insert,50000,6,12351,10,166,16.6
MaxHeap,peek,50000,6,12351,10,42,4.2
MaxHeap,extractMax,50000,6,12351,10,792,79.2
MaxHeap,insert,50000,7,12352,10,84,8.4
MaxHeap,peek,50000,7,12352,10,42,4.2
MaxHeap,extractMax,50000,7,12352,10,958,95.8
MaxHeap,insert,50000,8,12353,10,125,12.5
MaxHeap,peek,50000,8,12353,10,42,4.2
MaxHeap,extractMax,50000,8,12353,10,1000,100
MaxHeap,insert,50000,9,12354,10,209,20.9
MaxHeap,peek,50000,9,12354,10,42,4.2
MaxHeap,extractMax,50000,9,12354,10,833,83.3
MaxHeap,insert,100000,0,12345,10,292,29.2
MaxHeap,peek,100000,0,12345,10,125,12.5
MaxHeap,extractMax,100000,0,12345,10,1250,125
MaxHeap,insert,100000,1,12346,10,125,12.5
MaxHeap,peek,100000,1,12346,10,84,8.4
MaxHeap,extractMax,100000,1,12346,10,1542,154.2
MaxHeap,insert,100000,2,12347,10,166,16.6
MaxHeap,peek,100000,2,12347,10,458,45.8
MaxHeap,extractMax,100000,2,12347,10,2875,287.5
MaxHeap,insert,100000,3,12348,10,1500,150
MaxHeap,peek,100000,3,12348,10,167,16.7
MaxHeap,extractMax,100000,3,12348,10,2375,237.5
MaxHeap,insert,100000,4,12349,10,500,50
MaxHeap,peek,100000,4,12349,10,167,16.7
MaxHeap,extractMax,100000,4,12349,10,1875,187.5
MaxHeap,insert,100000,5,12350,10,583,58.3
MaxHeap,peek,100000,5,12350,10,125,12.5
MaxHeap,extractMax,100000,5,12350,10,3250,325
MaxHeap,insert,100000,6,12351,10,416,41.6
MaxHeap,peek,100000,6,12351,10,83,8.3
MaxHeap,extractMax,100000,6,12351,10,1208,120.8
MaxHeap,insert,100000,7,12352,10,542,54.2
MaxHeap,peek,100000,7,12352,10,0,0
MaxHeap,extractMax,100000,7,12352,10,1083,108.3
MaxHeap,insert,100000,8,12353,10,83,8.3
MaxHeap,peek,100000,8,12353,10,166,16.6
MaxHeap,extractMax,100000,8,12353,10,1125,112.5
MaxHeap,insert,100000,9,12354,10,375,37.5
MaxHeap,peek,100000,9,12354,10,0,0
MaxHeap,extractMax,100000,9,12354,10,1000,100
MaxHeap,insert,250000,0,12345,10,5833,583.3
MaxHeap,peek,250000,0,12345,10,42,4.2
MaxHeap,extractMax,250000,0,12345,10,1958,195.8
MaxHeap,insert,250000,1,12346,10,417,41.7
MaxHeap,peek,250000,1,12346,10,125,12.5
MaxHeap,extractMax,250000,1,12346,10,2083,208.3
MaxHeap,insert,250000,2,12347,10,250,25
MaxHeap,peek,250000,2,12347,10,166,16.6
MaxHeap,extractMax,250000,2,12347,10,1792,179.2
MaxHeap,insert,250000,3,12348,10,1083,108.3
MaxHeap,peek,250000,3,12348,10,125,12.5
MaxHeap,extractMax,250000,3,12348,10,1791,179.1
MaxHeap,insert,250000,4,12349,10,708,70.8
MaxHeap,peek,250000,4,12349,10,167,16.7
MaxHeap,extractMax,250000,4,12349,10,1750,175
MaxHeap,insert,250000,5,12350,10,208,20.8
MaxHeap,peek,250000,5,12350,10,209,20.9
MaxHeap,extractMax,250000,5,12350,10,1750,175
MaxHeap,insert,250000,6,12351,10,500,50
MaxHeap,peek,250000,6,12351,10,42,4.2
MaxHeap,extractMax,250000,6,12351,10,2125,212.5
MaxHeap,insert,250000,7,12352,10,333,33.3
MaxHeap,peek,250000,7,12352,10,125,12.5
MaxHeap,extractMax,250000,7,12352,10,1916,191.6
MaxHeap,insert,250000,8,12353,10,500,50
MaxHeap,peek,250000,8,12353,10,84,8.4
MaxHeap,extractMax,250000,8,12353,10,2125,212.5
